# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: Outer Banks CDJR
# Property: American Bathroom Remodelers
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260913
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/about/,2,2562,0.00078064012490242,26.18969555035129,13,7,0.4117647058823529,12,61,0,0
/careers/,2,815,0.00245398773006135,9.104294478527608,3,3,0.5,34.666666666666664,35,0,0
/diy-remodeling-can-you-remodel-a-bathroom-yourself/,2,934,0.0021413276231263384,21.676659528907923,2,2,1,131,9,0,0
/gallery/,2,424,0.0047169811320754715,14.995283018867925,9,11,0.6470588235294118,200.66666666666666,88,0,0
/service-areas/,2,1151,0.0017376194613379669,16.901824500434405,2,1,0.5,99.5,12,0,0
/blog/,1,165,0.006060606060606061,32.260606060606065,2,2,1,42,13,0,0
/contact-us/,1,1092,0.0009157509157509158,15.061355311355312,31,16,0.5,10.161290322580646,126,0,0
/coronado/,1,1225,0.0008163265306122449,27.616326530612245,1,1,1,137,5,0,0
/encinitas-tub-to-shower-conversions/,1,12,0.08333333333333333,9.916666666666666,1,1,1,6,5,0,0
/essential-ada-bathroom-upgrades-for-enhanced-comfort-and-safety/,1,2908,0.000343878954607978,23.074621733149932,4,4,1,51,32,0,0
/lemon-grove-residents-why-now-is-the-best-time-for-a-tub-to-shower-swap/,1,2,0.5,10.5,1,1,1,12,5,0,0
/our-process/,1,2825,0.00035398230088495576,26.8187610619469,5,2,0.3333333333333333,36.4,36,0,0
/tub-to-shower-conversion/,1,2743,0.0003645643456069996,32.165147648559966,33,19,0.5588235294117647,35.90909090909091,161,0,0
/2026-cost-guide-for-custom-bathroom-remodeling-in-del-mar/,0,7,0,5.714285714285714,0,0,0,0,0,0,0
/5-ada-bathroom-remodel-ideas-remodeling-your-bathroom-to-be-ada-compliant/,0,2619,0,67.73463153875525,0,0,0,0,0,0,0
/5-reasons-to-hire-a-local-san-diego-bathroom-remodeling-company/,0,22,0,36.68181818181818,0,0,0,0,0,0,0
/7-ways-to-maximize-space-in-your-bathroom-remodel/,0,341,0,23.35483870967742,0,0,0,0,0,0,0
/acrylic-bath-installer/,0,41,0,11.75609756097561,0,0,0,0,0,0,0
/ada-bathroom-remodelers-essential-features-for-inclusive-design/,0,1,0,1,0,0,0,0,0,0,0
/ada-grab-bar-placement-ensuring-safety-in-your-lakeside-home/,0,19,0,54.31578947368421,0,0,0,0,0,0,0
/ada-grab-bars-key-features-for-a-safer-accessible-bathroom/,0,423,0,11.73049645390071,0,0,0,0,0,0,0
/aging-in-place-essential-ada-bathroom-features-for-chula-vista-seniors/,0,11,0,10.090909090909092,0,0,0,0,0,0,0
/alpine/custom-bathroom-remodels/,0,12,0,6.25,0,0,0,0,0,0,0
/bathroom-lighting-ideas-to-brighten-up-your-san-diego-space/,0,32,0,15.8125,0,0,0,0,0,0,0
/bathroom-remodeling-services/,0,23,0,3.4782608695652173,0,0,0,0,0,0,0
/beating-the-heat-cooling-color-palettes-for-valley-center-bathrooms/,0,1,0,3,0,0,0,0,0,0,0
/bonita/,0,247,0,57,0,0,0,0,0,0,0
/bonita/ada-compliant-bathrooms/,0,13,0,40,0,0,0,0,0,0,0
/bonita/custom-bathroom-remodels/,0,44,0,30.954545454545453,0,0,0,0,0,0,0
/bonsall/,0,727,0,14.914718019257222,0,0,0,0,0,0,0
/bonsall/custom-bathroom-remodels/,0,124,0,20.370967741935484,0,0,0,0,0,0,0
/bonsall/tub-to-shower-conversions/,0,15,0,15.666666666666666,0,0,0,0,0,0,0
/campo/,0,560,0,17.90714285714286,0,0,0,0,0,0,0
/carlsbad-bathroom-remodeling/,0,1,0,23,0,0,0,0,0,0,0
/carlsbad/tub-to-shower-conversions/,0,13,0,26.53846153846154,0,0,0,0,0,0,0
/case-studies/,0,410,0,13.680487804878048,0,0,0,0,0,0,0
/chula-vista-tub-to-shower-conversions/,0,44,0,31.022727272727273,0,0,0,0,0,0,0
/coronado-ada-compliant-bathrooms/,0,4,0,5.25,0,0,0,0,0,0,0
/coronado/bathroom-remodeling/,0,6,0,26,0,0,0,0,0,0,0
/del-mar-one-day-bath-remodeling/,0,6,0,6.833333333333333,0,0,0,0,0,0,0
/designing-a-spa-like-primary-bath-in-carlsbad-2026-luxury-trends-2/,0,3,0,8,0,0,0,0,0,0,0
/designing-a-spa-like-primary-bath-in-carlsbad-2026-luxury-trends/,0,2,0,4,0,0,0,0,0,0,0
/double-bathroom-upgrade-with-a-surprise-twist-in-rancho-penasquitos/,0,36,0,9.416666666666666,0,0,0,0,0,0,0
/el-cajon-bathroom-remodeling/,0,3,0,9.333333333333334,0,0,0,0,0,0,0
/escondido-ada-bathrooms/,0,7,0,19.857142857142858,0,0,0,0,0,0,0
/financing/,0,10,0,18.1,0,0,0,0,0,0,0
/form/,0,2,0,6,0,0,0,0,0,0,0
/from-slippery-situation-to-safe-serenity-joan-peters-coronado-shower-makeover/,0,24,0,31.875,0,0,0,0,0,0,0
/from-tub-to-zen-modern-shower-conversions-for-encinitas-homeowners/,0,27,0,23.59259259259259,0,0,0,0,0,0,0
/full-custom-remodel/,0,1728,0,17.325810185185187,13,6,0.4,6.153846153846154,58,0,0
/home-mockup/,0,6,0,6.5,0,0,0,0,0,0,0
/how-a-bathroom-remodel-can-increase-the-value-of-your-home/,0,333,0,76.11711711711712,0,0,0,0,0,0,0
/how-a-tub-to-shower-conversion-adds-value-to-solana-beach-real-estate/,0,108,0,5.5,0,0,0,0,0,0,0
/imperial-beach-bathroom-remodeling/,0,13,0,8.615384615384615,0,0,0,0,0,0,0
/in-home-design-consultant/,0,24,0,7.166666666666667,1,1,1,3,4,0,0
/la-mesa-one-day-bath-remodeling/,0,20,0,12.5,0,0,0,0,0,0,0
/lakeside-ada-bathrooms/,0,3,0,7.333333333333333,0,0,0,0,0,0,0
/landing-thanks/,0,12,0,4.166666666666666,0,0,0,0,0,0,0
/lemon-grove-bathroom-remodeling/,0,8,0,24.625,0,0,0,0,0,0,0
/lost-your-warranty-because-your-contractor-closed-weve-got-you-covered/,0,66,0,11.045454545454545,0,0,0,0,0,0,0
/luxury-full-bathroom-remodeling/,0,22,0,8.272727272727273,0,0,0,0,0,0,0
/maximizing-rental-roi-tub-to-shower-upgrades-for-cardiff-by-the-sea-airbnbs-2/,0,11,0,8.454545454545453,0,0,0,0,0,0,0
/maximizing-rental-roi-tub-to-shower-upgrades-for-cardiff-by-the-sea-airbnbs/,0,25,0,6.52,0,0,0,0,0,0,0
/mockup-product-page/,0,2,0,8,0,0,0,0,0,0,0
/moisture-proofing-your-bathroom-combatting-coastal-humidity-in-imperial-beach/,0,4,0,21.25,0,0,0,0,0,0,0
/national-city-tub-to-shower-conversions/,0,12,0,22.333333333333332,0,0,0,0,0,0,0
/oceanside-ada-compliant-bathrooms/,0,10,0,10.3,0,0,0,0,0,0,0
/offers/,0,1239,0,13.319612590799032,0,0,0,0,0,0,0
/poway-one-day-bath-remodeling/,0,30,0,22.833333333333332,0,0,0,0,0,0,0
/privacy-policy/,0,183,0,13.103825136612022,0,0,0,0,0,0,0
/remodel/,0,7,0,13.714285714285714,5,0,0,0,15,0,0
/rustic-meets-modern-custom-bathroom-designs-for-julian-mountain-homes/,0,1,0,6,0,0,0,0,0,0,0
/san-diego-homeowners-left-without-support-well-rescue-your-bathroom-remodel/,0,7,0,10.857142857142858,0,0,0,0,0,0,0
/san-diego-homeowners-when-is-it-time-to-remodel-your-bathroom/,0,72,0,22.930555555555557,0,0,0,0,0,0,0
/san-ysidro-bathroom-remodeling-budgeting-for-a-total-transformation/,0,1,0,4,0,0,0,0,0,0,0
/sitemap/,0,21,0,14.80952380952381,0,0,0,0,0,0,0
/smart-tech-for-the-modern-san-diego-bathroom-toilets-taps-and-lighting/,0,7,0,20.285714285714285,0,0,0,0,0,0,0
/terms-of-service/,0,63,0,10.492063492063492,0,0,0,0,0,0,0
/the-best-materials-for-a-durable-san-diego-bathroom-remodel/,0,76,0,6.7368421052631575,0,0,0,0,0,0,0
/the-essential-guide-to-non-slip-flooring-for-la-mesa-seniors/,0,14,0,31.857142857142858,0,0,0,0,0,0,0
/the-top-3-bathroom-projects-that-get-you-the-most-bang-for-your-buck/,0,123,0,10.471544715447154,0,0,0,0,0,0,0
/top-bathroom-remodel-trends-san-diego-homeowners-love/,0,39,0,10.487179487179487,0,0,0,0,0,0,0
/upgrade-to-showers-a-cost-effective-modern-tub-alternative/,0,55,0,11.218181818181819,0,0,0,0,0,0,0
/upgrade-your-shower-with-these-modern-features/,0,26,0,19.346153846153847,0,0,0,0,0,0,0
/walk-in-tub-vs-zero-entry-shower-which-ada-option-is-best-for-jamul/,0,11,0,6.545454545454546,0,0,0,0,0,0,0
/wheelchair-accessible-bathrooms-national-citys-guide-to-ada-compliance/,0,18,0,13.38888888888889,0,0,0,0,0,0,0
/why-fallbrook-homeowners-are-switching-to-low-maintenance-walk-in-showers/,0,2,0,11,0,0,0,0,0,0,0
/wp-content/uploads/2022/07/lightbox-services-ada-compliant-1.jpg,0,3,0,47.666666666666664,0,0,0,0,0,0,0
/wp-content/uploads/2022/07/lightbox-services-ada-compliant-3-1.jpg,0,93,0,15.946236559139784,0,0,0,0,0,0,0
/wp-content/uploads/2023/02/gallery-tub-1.jpg,0,1,0,15,0,0,0,0,0,0,0
/wp-content/uploads/elementor/thumbs/lightbox-services-ada-compliant-2-qx8qt2vw1rabbd2ehx21dy1m5mseswu916q4qpbyvy.jpg,0,2,0,9,0,0,0,0,0,0,0
/wp-content/uploads/elementor/thumbs/lightbox-services-ada-compliant-2-rizocqjowb8qpu91ys6432gtv3wtnsqt777zklouou.jpg,0,3,0,34,0,0,0,0,0,0,0
/wp-content/uploads/elementor/thumbs/lightbox-services-ada-compliant-3-1-qx8qt2vw1rabbd2ehx21dy1m5mseswu916q4qpbyvy.jpg,0,6,0,13.833333333333334,0,0,0,0,0,0,0
/wp-content/uploads/elementor/thumbs/lightbox-services-ada-compliant-3-1-rizobk8ycrmu7dyhtrvwgv534rpb1f2w1dv4z5fkgu.jpg,0,25,0,19.88,0,0,0,0,0,0,0
/your-bathroom-remodel-was-left-unfinished-well-complete-it-with-5-off/,0,19,0,5.105263157894737,0,0,0,0,0,0,0
(not set),0,0,0,0,62,2,0.017857142857142856,11.870967741935484,236,0,0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeFzQLKBbpa_Q1qCLCwmRuZWhdsGMG7wfDtcQQHK9Wwxc7qd5vqJUWYEvFrcU_aem_a3pZfE-mSWkusNLXgbYZtA,0,0,0,0,1,1,1,150,9,0,0
/?hsa_acc=8175923043&hsa_cam=22993500465&hsa_grp=187997714791&hsa_ad=773254541519&hsa_src=&hsa_tgt=&hsa_kw=&hsa_mt=b&hsa_net=adwords&hsa_ver=3,0,0,0,0,1,0,0,0,3,0,0
/?sa=X&sqi=2&ved=2ahUKEwictKrmhtaWAxUqD1kFHUogGJ0Q1Y4JegQIDRAt&nis=8&ch=1,0,0,0,0,1,1,1,16,4,0,0
/transform-your-bathroom-with-the-quality-you-deserve/,0,0,0,0,89,47,0.5164835164835165,27.370786516853933,371,0,0
/transform-your-bathroom-with-the-quality-you-deserve/?hsa_acc=8175923043&hsa_cam=22717303105&hsa_grp=183114411804&hsa_ad=786422528307&hsa_src=g&hsa_tgt=kwd-298904047635&hsa_kw=bathroom%20remodel%20san%20diego&hsa_mt=b&hsa_net=adwords&hsa_ver=3,0,0,0,0,1,0,0,4,3,0,0
/turning-a-bathroom-disaster-into-a-spring-valley-success-story/,0,0,0,0,1,1,1,0,3,0,0
